from,to,relation,tag
Jeffrey_Epstein,Darren_Indyke,APPOINTS_TRUSTEE_1953,established
Jeffrey_Epstein,Richard_Kahn,APPOINTS_TRUSTEE_1953,established
Jeffrey_Epstein,Karyna_Shuliak,BEQUESTS_PRIMARY_1953,established
Karyna_Shuliak,Columbia_Dental,ATTENDED,established
Columbia_Dental,Columbia_University,PART_OF,established
Arthur_Engoron,Columbia_University,ALUM_BA_1972,established
Arthur_Engoron,NYU_Law,ALUM_JD_1979,established
Darren_Indyke,Cornell_Law,ALUM_JD_1991,established
Darren_Indyke,Colgate,ALUM_BA_1986,established
Bruce_Reinhart,Sarah_Kellen,REPRESENTED_COUNSEL,established
Bruce_Reinhart,Nadia_Marcinkova,REPRESENTED_COUNSEL,established
Bruce_Reinhart,Epstein_Pilots,REPRESENTED_COUNSEL,established
Jeffrey_Epstein,Bruce_Reinhart,PAID_FOR_EMPLOYEE_COUNSEL,reporting
Bruce_Reinhart,Mar_a_Lago_Warrant,SIGNED_AS_MAGISTRATE,established
Sarah_Kellen,NPA_2007,NAMED_POTENTIAL_CO_CONSPIRATOR,established
Nadia_Marcinkova,NPA_2007,NAMED_POTENTIAL_CO_CONSPIRATOR,established
