lot,count
1004,32
1003,24
1102,24
1002,23
1001,20
1164,17
1032,13
1147,13
1005,13
1165,13
1011,12
1058,12
1100,12
1136,12
1178,12
1116,12
1201,12
1104,12
1096,12
1049,12
1158,12
1197,12
1168,12
1155,12
1013,12
1051,12
1188,12
1161,12
1125,12
1075,12
1067,12
1074,12
1006,12
1088,12
1146,12
1185,12
1202,12
1200,12
1148,12
1064,12
1094,12
1190,12
1043,12
1167,12
1119,12
1034,12
1080,12
1172,12
1121,12
1052,12
1045,12
1093,12
1014,12
1091,12
1070,12
1156,12
1173,12
1023,12
1019,12
1086,12
1157,12
1107,12
1192,12
1140,12
1073,12
1126,12
1047,12
1103,12
1122,12
1174,12
1179,12
1024,12
1063,12
1109,12
1084,12
1149,12
1153,12
1145,12
1050,12
1017,12
1151,12
1078,12
1087,12
1144,12
1020,12
1038,12
1143,12
1069,12
1026,12
1007,12
1189,12
1035,12
1061,12
1065,12
1072,12
1081,12
1181,12
1171,12
1183,12
1150,12
1170,12
1059,12
1083,12
1060,12
1099,12
1082,12
1008,12
1108,12
1177,12
1089,12
1115,12
1037,12
1022,12
1025,12
1040,12
1012,12
1132,12
1018,12
1182,12
1187,12
1113,12
1152,12
1159,12
1195,12
1098,12
1193,12
1176,12
1175,12
1039,12
1135,12
1110,12
1184,12
1191,12
1030,12
1101,12
1068,12
1106,12
1162,12
1071,11
1133,11
1137,11
1062,11
1123,11
1169,10
1066,10
1129,10
1009,8
1105,8
1095,6
1042,6
1031,6
1036,5
1138,5
1186,5
1048,4
1180,4
1027,4
1056,4
1010,4
1053,4
1130,4
1134,4
1118,4
1141,4
1077,4
1090,3
1112,3
1111,3
1154,3
1054,2
1194,2
1131,2
1033,2
1163,1
1198,1
1016,1
1029,1
1055,1
