unit,legal_record_count
9D,24
2A,20
4C,13
12H,13
14N,13
14LM,13
2H,12
6A,12
9B,12
11L,12
15M,12
10D,12
17K,12
9F,12
8M,12
5F,12
14E,12
17F,12
15B,12
14B,12
2K,12
5H,12
16H,12
14H,12
10N,12
7E,12
6L,12
7D,12
2C,12
8D,12
12G,12
16E,12
17L,12
17J,12
12J,12
6H,12
8K,12
16K,12
4P,12
15A,12
10G,12
4E,12
7K,12
15F,12
10J,12
5J,12
5B,12
8J,12
2L,12
8G,12
6P,12
14C,12
15G,12
3H,12
3D,12
8B,12
14D,12
9J,12
17A,12
12A,12
7C,12
10P,12
5D,12
9E,12
10K,12
15H,12
15N,12
3J,12
6G,12
9L,12
7P,12
12K,12
12P,12
12F,12
5G,12
3B,12
12M,12
7H,12
8C,12
12E,12
3E,12
4J,12
12D,12
6N,12
3L,12
2D,12
2B,12
16J,12
4F,12
6D,12
6J,12
7B,12
7L,12
16A,12
15E,12
16C,12
12L,12
15D,12
6B,12
7N,12
6C,12
9A,12
7M,12
2E,12
9K,12
15L,12
8E,12
10C,12
4H,12
3G,12
3K,12
4L,12
2J,12
11G,12
3C,12
16B,12
16G,12
10A,12
12N,12
14F,12
17D,12
8P,12
17B,12
15K,12
15J,12
4K,12
11K,12
9M,12
16D,12
16L,12
4A,12
9C,12
6M,12
9H,12
14J,12
7A,11
11H,11
11M,11
6EF,11
10L,11
PROF,11
15C,10
6K,10
COMM,10
GARGE,10
11CD,10
2F,8
9G,8
8L,6
4N,6
4B,6
4G,5
11N,5
16F,5
15P,4
3M,4
5N,4
2G,4
5K,4
11E,4
14M/L,4
11J,4
10F,4
12B,4
7G,4
8F,3
9P,3
9N,3
14A,3
5E,3
5L,2
11F,2
4D,2
14K,1
3A,1
17C,1
3P,1
5M,1
